Flight,Plane,Time,Age,Fitness,TechSavvy,Experience,Impatience,TimePressure,Luggage,KioskAffinity,Speed
MS9296,A220,2025-11-25T02:32:00+00:00,78,0.02,0.42,8,0.17,0.28,0.98,0.00,0.86
MS9296,A220,2025-11-25T02:32:00+00:00,39,0.79,0.89,5,0.37,0.76,0.05,0.58,1.96
MS9296,A220,2025-11-25T02:32:00+00:00,62,0.15,0.43,8,0.35,0.32,0.91,0.31,0.96
MS9296,A220,2025-11-25T02:32:00+00:00,27,0.84,1.00,0,0.24,0.16,0.68,0.48,1.42
MS9296,A220,2025-11-25T02:32:00+00:00,48,0.63,0.61,6,0.35,0.48,0.28,0.39,1.60
MS9296,A220,2025-11-25T02:32:00+00:00,36,0.52,0.90,2,0.21,0.29,0.72,0.45,1.24
MS9296,A220,2025-11-25T02:32:00+00:00,65,0.33,0.54,9,0.32,0.75,0.86,0.32,1.19
MS9296,A220,2025-11-25T02:32:00+00:00,73,0.18,0.52,10,0.23,0.76,0.05,0.15,1.46
MS9296,A220,2025-11-25T02:32:00+00:00,47,0.44,0.72,6,0.19,0.74,0.07,0.48,1.66
MS9296,A220,2025-11-25T02:32:00+00:00,78,0.23,0.26,9,0.21,0.84,0.78,0.00,1.19
MS9296,A220,2025-11-25T02:32:00+00:00,68,0.30,0.44,8,0.39,0.04,0.70,0.16,1.06
MS9296,A220,2025-11-25T02:32:00+00:00,77,0.23,0.34,9,0.26,0.88,0.92,0.00,1.13
MS9296,A220,2025-11-25T02:32:00+00:00,57,0.54,0.47,4,0.28,0.03,0.10,0.17,1.46
MS9296,A220,2025-11-25T02:32:00+00:00,30,0.86,0.90,3,0.38,0.49,0.97,0.46,1.37
MS9296,A220,2025-11-25T02:32:00+00:00,60,0.36,0.57,8,0.31,0.44,0.90,0.43,1.11
MS9296,A220,2025-11-25T02:32:00+00:00,75,0.12,0.47,10,0.27,0.14,0.99,0.00,0.87
MS9296,A220,2025-11-25T02:32:00+00:00,58,0.28,0.47,7,0.17,0.32,0.42,0.19,1.24
MS9296,A220,2025-11-25T02:32:00+00:00,22,0.75,0.93,0,0.20,0.95,0.87,0.43,1.50
MS9296,A220,2025-11-25T02:32:00+00:00,31,0.90,0.98,0,0.18,0.10,0.40,0.48,1.58
MS9296,A220,2025-11-25T02:32:00+00:00,38,0.52,0.75,4,0.45,0.84,0.78,0.40,1.37
MS9296,A220,2025-11-25T02:32:00+00:00,22,0.96,0.90,1,0.18,0.30,0.98,0.42,1.36
MS9296,A220,2025-11-25T02:32:00+00:00,24,1.00,1.00,2,0.42,0.28,0.77,0.52,1.50
MS9296,A220,2025-11-25T02:32:00+00:00,42,0.69,0.82,2,0.13,0.66,0.20,0.44,1.75
MS9296,A220,2025-11-25T02:32:00+00:00,42,0.62,0.92,4,0.23,0.33,0.77,0.49,1.29
MS9296,A220,2025-11-25T02:32:00+00:00,49,0.64,0.88,6,0.44,0.03,0.10,0.56,1.53
MS9296,A220,2025-11-25T02:32:00+00:00,67,0.24,0.45,8,0.22,0.28,0.06,0.26,1.35
MS9296,A220,2025-11-25T02:32:00+00:00,44,0.56,0.84,6,0.40,0.69,0.86,0.48,1.31
MS9296,A220,2025-11-25T02:32:00+00:00,54,0.59,0.58,3,0.04,0.13,0.53,0.21,1.33
MS9296,A220,2025-11-25T02:32:00+00:00,78,0.00,0.39,7,0.16,0.10,0.50,0.00,0.97
MS9296,A220,2025-11-25T02:32:00+00:00,53,0.61,0.55,3,0.27,0.66,0.23,0.24,1.68
MS9296,A220,2025-11-25T02:32:00+00:00,76,0.00,0.40,8,0.21,0.08,0.72,0.00,0.89
MS9296,A220,2025-11-25T02:32:00+00:00,75,0.02,0.52,9,0.42,0.70,0.20,0.03,1.25
MS9296,A220,2025-11-25T02:32:00+00:00,52,0.59,0.71,7,0.42,0.48,0.89,0.37,1.26
MS9296,A220,2025-11-25T02:32:00+00:00,52,0.52,0.54,3,0.07,0.12,0.48,0.22,1.31
MS9296,A220,2025-11-25T02:32:00+00:00,54,0.24,0.56,5,0.18,0.58,0.14,0.29,1.42
MS9296,A220,2025-11-25T02:32:00+00:00,74,0.16,0.38,10,0.50,0.81,0.43,0.00,1.29
MS9296,A220,2025-11-25T02:32:00+00:00,37,0.71,0.84,1,0.09,0.08,0.55,0.40,1.38
MS9296,A220,2025-11-25T02:32:00+00:00,47,0.60,0.81,6,0.46,0.42,0.08,0.53,1.66
MS9296,A220,2025-11-25T02:32:00+00:00,22,0.76,1.00,2,0.35,0.56,0.41,0.56,1.65
MS9296,A220,2025-11-25T02:32:00+00:00,55,0.44,0.63,7,0.33,0.27,0.19,0.36,1.44
MS9296,A220,2025-11-25T02:32:00+00:00,67,0.41,0.55,9,0.38,0.46,0.28,0.32,1.43
MS9296,A220,2025-11-25T02:32:00+00:00,64,0.35,0.51,7,0.42,0.34,0.01,0.11,1.48
MS9296,A220,2025-11-25T02:32:00+00:00,73,0.00,0.29,9,0.33,0.29,0.20,0.00,1.13
MS9296,A220,2025-11-25T02:32:00+00:00,80,0.17,0.41,8,0.26,0.56,0.27,0.00,1.30
MS9296,A220,2025-11-25T02:32:00+00:00,23,0.79,1.00,0,0.14,0.32,0.13,0.54,1.74
MS9296,A220,2025-11-25T02:32:00+00:00,26,0.88,0.90,1,0.13,0.78,0.08,0.51,2.03
MS9296,A220,2025-11-25T02:32:00+00:00,80,0.00,0.38,10,0.34,0.45,0.95,0.00,0.89
MS9296,A220,2025-11-25T02:32:00+00:00,74,0.13,0.18,6,0.25,0.00,0.68,0.00,0.96
MS9296,A220,2025-11-25T02:32:00+00:00,75,0.00,0.21,7,0.19,0.21,0.98,0.00,0.83
MS9296,A220,2025-11-25T02:32:00+00:00,18,0.85,1.00,2,0.46,0.02,0.07,0.61,1.69
MS9296,A220,2025-11-25T02:32:00+00:00,78,0.00,0.35,7,0.28,0.19,0.22,0.00,1.10
MS9296,A220,2025-11-25T02:32:00+00:00,53,0.47,0.55,7,0.42,0.51,0.76,0.28,1.26
MS9296,A220,2025-11-25T02:32:00+00:00,75,0.00,0.47,7,0.27,0.26,0.05,0.00,1.18
MS9296,A220,2025-11-25T02:32:00+00:00,48,0.50,0.64,6,0.29,0.33,0.91,0.34,1.16
MS9296,A220,2025-11-25T02:32:00+00:00,34,0.56,0.92,0,0.21,0.05,0.32,0.45,1.38
MS9296,A220,2025-11-25T02:32:00+00:00,64,0.39,0.54,5,0.03,0.95,0.81,0.00,1.30
MS9296,A220,2025-11-25T02:32:00+00:00,46,0.39,0.75,6,0.37,0.89,0.81,0.43,1.29
MS9296,A220,2025-11-25T02:32:00+00:00,51,0.46,0.76,4,0.11,0.49,0.86,0.35,1.20
MS9296,A220,2025-11-25T02:32:00+00:00,30,0.91,1.00,4,0.25,0.83,0.02,0.64,2.11
MS9296,A220,2025-11-25T02:32:00+00:00,51,0.36,0.87,7,0.31,0.42,0.14,0.56,1.45
MS9296,A220,2025-11-25T02:32:00+00:00,32,0.87,0.70,0,0.18,0.58,0.10,0.34,1.92
MS9296,A220,2025-11-25T02:32:00+00:00,75,0.16,0.26,9,0.24,0.10,0.64,0.00,1.02
MS9296,A220,2025-11-25T02:32:00+00:00,76,0.10,0.45,10,0.21,0.54,0.47,0.00,1.16
MS9296,A220,2025-11-25T02:32:00+00:00,70,0.19,0.40,8,0.18,0.52,0.69,0.07,1.12
MS9296,A220,2025-11-25T02:32:00+00:00,24,0.79,1.00,0,0.26,0.79,0.94,0.46,1.44
MS9296,A220,2025-11-25T02:32:00+00:00,41,0.51,0.83,4,0.33,0.56,0.93,0.42,1.21
MS9296,A220,2025-11-25T02:32:00+00:00,39,0.75,0.95,4,0.30,0.35,0.49,0.54,1.53
MS9296,A220,2025-11-25T02:32:00+00:00,68,0.35,0.66,10,0.51,0.49,0.05,0.41,1.51
MS9296,A220,2025-11-25T02:32:00+00:00,18,0.97,0.94,0,0.37,0.73,0.11,0.52,2.06
MS9296,A220,2025-11-25T02:32:00+00:00,66,0.10,0.63,10,0.54,0.74,0.91,0.37,1.03
MS9296,A220,2025-11-25T02:32:00+00:00,78,0.13,0.35,7,0.18,0.68,0.25,0.00,1.31
MS9296,A220,2025-11-25T02:32:00+00:00,30,0.78,0.81,0,0.12,0.04,0.56,0.37,1.40
MS9296,A220,2025-11-25T02:32:00+00:00,69,0.03,0.51,9,0.32,0.01,0.93,0.17,0.83
MS9296,A220,2025-11-25T02:32:00+00:00,55,0.28,0.40,3,0.24,0.50,0.33,0.11,1.34
MS9296,A220,2025-11-25T02:32:00+00:00,79,0.20,0.23,9,0.36,0.60,0.60,0.00,1.19
MS9296,A220,2025-11-25T02:32:00+00:00,32,0.89,0.78,2,0.23,0.58,0.83,0.37,1.50
MS9296,A220,2025-11-25T02:32:00+00:00,79,0.17,0.40,10,0.33,0.85,0.08,0.00,1.47
MS9296,A220,2025-11-25T02:32:00+00:00,23,0.90,1.00,2,0.34,0.24,0.45,0.56,1.60
MS9296,A220,2025-11-25T02:32:00+00:00,36,0.57,0.89,1,0.20,0.88,0.52,0.43,1.56
MS9296,A220,2025-11-25T02:32:00+00:00,19,0.97,1.00,0,0.08,0.92,0.95,0.47,1.58
MS9296,A220,2025-11-25T02:32:00+00:00,66,0.11,0.35,5,0.31,0.21,0.46,0.00,1.08
MS9296,A220,2025-11-25T02:32:00+00:00,41,0.49,0.71,5,0.19,0.74,0.14,0.45,1.66
MS9296,A220,2025-11-25T02:32:00+00:00,25,0.73,1.00,0,0.28,0.22,0.95,0.45,1.23
MS9296,A220,2025-11-25T02:32:00+00:00,23,0.78,1.00,0,0.12,0.94,0.45,0.51,1.78
MS9296,A220,2025-11-25T02:32:00+00:00,32,0.62,0.80,0,0.28,0.12,0.90,0.33,1.17
MS9296,A220,2025-11-25T02:32:00+00:00,38,0.75,0.86,1,0.03,0.92,0.02,0.46,2.01
MS9296,A220,2025-11-25T02:32:00+00:00,52,0.41,0.77,5,0.27,0.36,0.64,0.39,1.24
MS9296,A220,2025-11-25T02:32:00+00:00,68,0.13,0.65,9,0.45,0.22,0.66,0.32,1.02
MS9296,A220,2025-11-25T02:32:00+00:00,52,0.44,0.79,6,0.26,0.91,0.21,0.47,1.64
MS9296,A220,2025-11-25T02:32:00+00:00,31,0.92,0.77,2,0.23,0.77,0.30,0.42,1.91
MS9296,A220,2025-11-25T02:32:00+00:00,19,0.84,0.95,1,0.16,0.11,0.07,0.55,1.72
MS9296,A220,2025-11-25T02:32:00+00:00,22,1.00,0.87,1,0.14,0.27,0.62,0.44,1.58
MS9296,A220,2025-11-25T02:32:00+00:00,61,0.28,0.63,5,0.10,0.97,0.84,0.13,1.23
TG7564,A320,2025-11-25T02:32:00+00:00,62,0.46,0.50,6,0.22,0.96,0.53,0.08,1.50
TG7564,A320,2025-11-25T02:32:00+00:00,76,0.11,0.49,9,0.42,0.89,0.07,0.00,1.43
TG7564,A320,2025-11-25T02:32:00+00:00,58,0.38,0.61,8,0.50,0.95,0.42,0.55,1.50
TG7564,A320,2025-11-25T02:32:00+00:00,69,0.22,0.49,9,0.40,0.87,0.02,0.25,1.55
TG7564,A320,2025-11-25T02:32:00+00:00,40,0.71,0.74,1,0.05,0.92,0.46,0.34,1.72
TG7564,A320,2025-11-25T02:32:00+00:00,65,0.34,0.53,6,0.22,0.70,0.01,0.08,1.59
TG7564,A320,2025-11-25T02:32:00+00:00,28,0.67,0.86,1,0.12,0.85,0.43,0.44,1.68
TG7564,A320,2025-11-25T02:32:00+00:00,24,1.00,1.00,0,0.18,0.75,0.35,0.51,1.93
TG7564,A320,2025-11-25T02:32:00+00:00,59,0.30,0.58,5,0.33,0.35,0.05,0.22,1.43
TG7564,A320,2025-11-25T02:32:00+00:00,26,0.98,0.92,1,0.37,0.26,0.09,0.51,1.87
TG7564,A320,2025-11-25T02:32:00+00:00,45,0.52,0.74,5,0.31,0.40,0.72,0.41,1.28
TG7564,A320,2025-11-25T02:32:00+00:00,53,0.52,0.60,6,0.44,0.47,0.33,0.33,1.50
TG7564,A320,2025-11-25T02:32:00+00:00,39,0.49,0.88,1,0.28,0.99,0.66,0.41,1.46
TG7564,A320,2025-11-25T02:32:00+00:00,32,0.67,0.93,1,0.29,0.26,0.38,0.48,1.50
TG7564,A320,2025-11-25T02:32:00+00:00,63,0.32,0.58,9,0.35,0.78,0.16,0.47,1.53
TG7564,A320,2025-11-25T02:32:00+00:00,71,0.07,0.60,10,0.49,0.49,0.08,0.27,1.28
TG7564,A320,2025-11-25T02:32:00+00:00,78,0.00,0.29,7,0.09,0.34,0.37,0.00,1.08
TG7564,A320,2025-11-25T02:32:00+00:00,29,0.89,0.92,3,0.42,0.49,0.29,0.54,1.79
TG7564,A320,2025-11-25T02:32:00+00:00,70,0.14,0.46,10,0.30,0.47,0.92,0.13,0.98
TG7564,A320,2025-11-25T02:32:00+00:00,42,0.63,0.68,5,0.41,0.37,0.50,0.40,1.45
TG7564,A320,2025-11-25T02:32:00+00:00,69,0.02,0.40,8,0.39,0.02,0.12,0.16,1.10
TG7564,A320,2025-11-25T02:32:00+00:00,33,0.76,0.85,1,0.09,0.60,0.43,0.42,1.66
TG7564,A320,2025-11-25T02:32:00+00:00,30,0.85,0.75,0,0.19,0.18,0.43,0.35,1.56
TG7564,A320,2025-11-25T02:32:00+00:00,19,0.94,0.97,1,0.41,0.22,0.08,0.56,1.83
TG7564,A320,2025-11-25T02:32:00+00:00,78,0.20,0.39,8,0.11,0.22,0.14,0.00,1.27
TG7564,A320,2025-11-25T02:32:00+00:00,80,0.00,0.23,10,0.44,0.28,0.62,0.00,0.98
TG7564,A320,2025-11-25T02:32:00+00:00,49,0.43,0.61,3,0.03,0.86,0.26,0.31,1.59
TG7564,A320,2025-11-25T02:32:00+00:00,67,0.22,0.37,5,0.23,0.12,0.10,0.00,1.27
TG7564,A320,2025-11-25T02:32:00+00:00,49,0.45,0.60,6,0.29,0.44,0.34,0.37,1.43
TG7564,A320,2025-11-25T02:32:00+00:00,23,0.80,1.00,0,0.15,0.71,0.87,0.47,1.46
TG7564,A320,2025-11-25T02:32:00+00:00,31,0.92,0.89,1,0.30,0.38,0.64,0.43,1.56
TG7564,A320,2025-11-25T02:32:00+00:00,21,0.92,1.00,0,0.31,0.60,0.14,0.54,1.94
TG7564,A320,2025-11-25T02:32:00+00:00,77,0.15,0.41,10,0.19,0.93,0.21,0.00,1.41
TG7564,A320,2025-11-25T02:32:00+00:00,31,0.98,0.82,1,0.10,0.14,0.78,0.38,1.43
TG7564,A320,2025-11-25T02:32:00+00:00,77,0.15,0.39,8,0.23,0.47,0.42,0.00,1.20
TG7564,A320,2025-11-25T02:32:00+00:00,72,0.29,0.29,8,0.38,0.57,0.63,0.00,1.23
TG7564,A320,2025-11-25T02:32:00+00:00,73,0.07,0.47,6,0.17,0.97,0.11,0.00,1.41
TG7564,A320,2025-11-25T02:32:00+00:00,62,0.20,0.46,6,0.38,0.37,0.59,0.06,1.13
TG7564,A320,2025-11-25T02:32:00+00:00,38,0.77,0.83,2,0.21,0.19,0.20,0.45,1.63
TG7564,A320,2025-11-25T02:32:00+00:00,66,0.21,0.47,7,0.32,0.13,0.24,0.01,1.22
TG7564,A320,2025-11-25T02:32:00+00:00,65,0.25,0.63,8,0.42,0.33,0.10,0.43,1.36
TG7564,A320,2025-11-25T02:32:00+00:00,27,0.89,1.00,1,0.29,0.55,0.50,0.52,1.68
TG7564,A320,2025-11-25T02:32:00+00:00,29,1.00,0.93,0,0.09,0.46,0.35,0.46,1.82
TG7564,A320,2025-11-25T02:32:00+00:00,67,0.37,0.47,7,0.32,0.75,0.79,0.00,1.25
TG7564,A320,2025-11-25T02:32:00+00:00,56,0.32,0.54,5,0.35,0.62,0.17,0.24,1.47
TG7564,A320,2025-11-25T02:32:00+00:00,23,0.93,1.00,2,0.18,0.57,0.36,0.57,1.81
TG7564,A320,2025-11-25T02:32:00+00:00,27,0.96,0.76,0,0.14,0.03,0.23,0.38,1.68
TG7564,A320,2025-11-25T02:32:00+00:00,43,0.56,0.78,4,0.40,0.25,0.31,0.45,1.45
TG7564,A320,2025-11-25T02:32:00+00:00,48,0.44,0.59,2,0.10,0.75,0.74,0.23,1.32
TG7564,A320,2025-11-25T02:32:00+00:00,79,0.16,0.29,8,0.31,0.06,0.63,0.00,1.01
TG7564,A320,2025-11-25T02:32:00+00:00,70,0.00,0.47,7,0.36,0.48,0.68,0.00,1.00
TG7564,A320,2025-11-25T02:32:00+00:00,76,0.21,0.23,8,0.17,0.10,0.47,0.00,1.11
TG7564,A320,2025-11-25T02:32:00+00:00,60,0.25,0.50,5,0.06,0.45,0.18,0.14,1.36
TG7564,A320,2025-11-25T02:32:00+00:00,75,0.08,0.41,9,0.44,0.52,0.78,0.00,1.02
TG7564,A320,2025-11-25T02:32:00+00:00,70,0.18,0.55,7,0.25,0.38,0.35,0.00,1.22
TG7564,A320,2025-11-25T02:32:00+00:00,51,0.57,0.48,3,0.28,0.71,0.77,0.16,1.38
TG7564,A320,2025-11-25T02:32:00+00:00,79,0.00,0.27,7,0.18,0.29,0.17,0.00,1.14
TG7564,A320,2025-11-25T02:32:00+00:00,55,0.57,0.79,7,0.45,0.98,0.36,0.44,1.69
TG7564,A320,2025-11-25T02:32:00+00:00,37,0.57,0.92,5,0.28,0.41,0.52,0.55,1.42
TG7564,A320,2025-11-25T02:32:00+00:00,80,0.00,0.27,10,0.39,0.03,0.14,0.00,1.08
TG7564,A320,2025-11-25T02:32:00+00:00,71,0.05,0.43,7,0.24,0.33,0.39,0.00,1.10
TG7564,A320,2025-11-25T02:32:00+00:00,78,0.00,0.51,10,0.39,0.97,0.23,0.00,1.30
TG7564,A320,2025-11-25T02:32:00+00:00,63,0.29,0.36,5,0.04,0.94,0.54,0.00,1.36
TG7564,A320,2025-11-25T02:32:00+00:00,59,0.26,0.66,5,0.20,0.04,0.71,0.21,1.04
TG7564,A320,2025-11-25T02:32:00+00:00,23,0.88,0.98,0,0.18,0.78,0.59,0.48,1.71
TG7564,A320,2025-11-25T02:32:00+00:00,23,0.77,0.96,0,0.32,0.16,0.51,0.48,1.47
TG7564,A320,2025-11-25T02:32:00+00:00,63,0.42,0.45,6,0.33,0.39,0.84,0.00,1.16
TG7564,A320,2025-11-25T02:32:00+00:00,57,0.30,0.42,5,0.18,0.51,0.84,0.09,1.12
TG7564,A320,2025-11-25T02:32:00+00:00,75,0.00,0.48,7,0.10,0.89,0.34,0.00,1.23
TG7564,A320,2025-11-25T02:32:00+00:00,61,0.50,0.65,5,0.22,0.56,0.86,0.14,1.24
TG7564,A320,2025-11-25T02:32:00+00:00,61,0.20,0.64,5,0.13,0.30,0.58,0.16,1.12
TG7564,A320,2025-11-25T02:32:00+00:00,75,0.06,0.42,8,0.17,0.20,0.77,0.00,0.94
TG7564,A320,2025-11-25T02:32:00+00:00,25,0.84,0.92,0,0.31,0.53,0.07,0.50,1.90
TG7564,A320,2025-11-25T02:32:00+00:00,71,0.09,0.33,7,0.26,0.03,0.00,0.00,1.19
TG7564,A320,2025-11-25T02:32:00+00:00,43,0.68,0.78,4,0.26,0.99,0.18,0.46,1.88
TG7564,A320,2025-11-25T02:32:00+00:00,53,0.61,0.66,3,0.06,0.18,0.70,0.26,1.28
TG7564,A320,2025-11-25T02:32:00+00:00,44,0.73,0.65,2,0.23,0.41,0.20,0.33,1.69
TG7564,A320,2025-11-25T02:32:00+00:00,57,0.56,0.64,7,0.47,0.65,0.84,0.26,1.31
TG7564,A320,2025-11-25T02:32:00+00:00,67,0.21,0.62,9,0.38,0.00,0.23,0.37,1.18
TG7564,A320,2025-11-25T02:32:00+00:00,49,0.50,0.77,4,0.19,0.62,0.98,0.35,1.20
TG7564,A320,2025-11-25T02:32:00+00:00,29,0.65,0.91,1,0.31,0.83,0.70,0.44,1.50
TG7564,A320,2025-11-25T02:32:00+00:00,40,0.81,0.96,4,0.32,0.34,0.70,0.52,1.45
TG7564,A320,2025-11-25T02:32:00+00:00,22,0.83,1.00,0,0.12,0.10,0.41,0.52,1.53
TG7564,A320,2025-11-25T02:32:00+00:00,59,0.53,0.71,6,0.24,0.64,0.88,0.24,1.27
TG7564,A320,2025-11-25T02:32:00+00:00,69,0.29,0.57,7,0.28,0.23,0.28,0.00,1.28
TG7564,A320,2025-11-25T02:32:00+00:00,38,0.84,0.78,4,0.38,0.22,0.99,0.39,1.27
TG7564,A320,2025-11-25T02:32:00+00:00,32,0.66,1.00,2,0.28,0.03,0.70,0.52,1.26
TG7564,A320,2025-11-25T02:32:00+00:00,65,0.16,0.50,5,0.16,0.62,0.60,0.00,1.17
TG7564,A320,2025-11-25T02:32:00+00:00,36,0.52,0.66,1,0.19,0.85,0.94,0.26,1.29
TG7564,A320,2025-11-25T02:32:00+00:00,31,0.84,0.84,3,0.35,0.71,0.61,0.46,1.64
TG7564,A320,2025-11-25T02:32:00+00:00,80,0.08,0.44,10,0.29,0.39,0.86,0.00,0.96
TG7564,A320,2025-11-25T02:32:00+00:00,55,0.28,0.48,5,0.24,0.83,0.53,0.18,1.34
TG7564,A320,2025-11-25T02:32:00+00:00,68,0.04,0.42,8,0.23,0.56,0.83,0.14,0.98
TG7564,A320,2025-11-25T02:32:00+00:00,20,0.91,1.00,0,0.17,0.41,0.92,0.47,1.40
TG7564,A320,2025-11-25T02:32:00+00:00,77,0.00,0.27,10,0.42,0.78,0.40,0.00,1.18
TG7564,A320,2025-11-25T02:32:00+00:00,70,0.25,0.52,10,0.27,0.33,0.68,0.20,1.11
TG7564,A320,2025-11-25T02:32:00+00:00,22,1.00,0.90,2,0.44,0.19,0.07,0.54,1.87
TG7564,A320,2025-11-25T02:32:00+00:00,66,0.08,0.42,8,0.22,0.55,0.32,0.25,1.21
TG7564,A320,2025-11-25T02:32:00+00:00,47,0.36,0.51,2,0.24,0.20,0.91,0.17,1.05
TG7564,A320,2025-11-25T02:32:00+00:00,48,0.36,0.61,4,0.18,0.46,0.63,0.30,1.24
TG7564,A320,2025-11-25T02:32:00+00:00,28,0.86,1.00,4,0.45,0.68,0.15,0.63,1.93
TG7564,A320,2025-11-25T02:32:00+00:00,74,0.18,0.35,10,0.40,0.97,0.93,0.00,1.11
TG7564,A320,2025-11-25T02:32:00+00:00,33,0.65,0.98,1,0.05,0.21,0.88,0.46,1.22
TG7564,A320,2025-11-25T02:32:00+00:00,73,0.18,0.37,9,0.38,0.03,0.55,0.00,1.05
TG7564,A320,2025-11-25T02:32:00+00:00,68,0.38,0.63,9,0.25,0.42,0.47,0.33,1.32
TG7564,A320,2025-11-25T02:32:00+00:00,75,0.04,0.33,10,0.49,0.33,0.39,0.00,1.10
TG7564,A320,2025-11-25T02:32:00+00:00,22,0.82,1.00,0,0.19,0.65,0.10,0.55,1.91
TG7564,A320,2025-11-25T02:32:00+00:00,29,0.69,0.94,0,0.08,0.01,0.73,0.43,1.25
TG7564,A320,2025-11-25T02:32:00+00:00,23,0.72,0.89,1,0.28,0.64,0.72,0.44,1.48
TG7564,A320,2025-11-25T02:32:00+00:00,49,0.66,0.72,7,0.46,0.70,0.08,0.49,1.81
TG7564,A320,2025-11-25T02:32:00+00:00,72,0.19,0.53,10,0.35,0.84,0.74,0.12,1.18
TG7564,A320,2025-11-25T02:32:00+00:00,33,0.81,0.78,3,0.25,0.74,0.61,0.42,1.63
TG7564,A320,2025-11-25T02:32:00+00:00,22,0.87,1.00,0,0.20,0.63,0.01,0.56,2.00
TG7564,A320,2025-11-25T02:32:00+00:00,66,0.17,0.37,7,0.34,0.19,0.64,0.00,1.05
TG7564,A320,2025-11-25T02:32:00+00:00,67,0.21,0.40,7,0.35,0.92,0.83,0.00,1.17
TG7564,A320,2025-11-25T02:32:00+00:00,77,0.17,0.35,8,0.11,0.79,0.98,0.00,1.05
